,제목,내용,링크
43,"넷플릭스 이용자 10명 중 6명 ""계정공유 단속하면 구독 끊겠다""",글로벌 온라인동영상서비스(OTT) 넷플릭스가 수익 악화를 극복하기 위해 계정공유시 추가 요금을 부과한다면 절반이 넘는 이용자가 구독을 끊겠다는 조사 결과가 나왔다. 한국언론진흥재단이 지난 2월23일부터 27일까지 넷,https://n.news.naver.com/article/417/0000902290
44,"서울대, 정순신 아들 논란에 ""할 수 있는 최대한 감점""(종합2보)","전학간 반포고 ""반성 등 고려해 만장일치로 징계기록 삭제"" ""서울대 입학사정관 요청으로 사실관계확인서도 보내"" 김수현 김준태 기자 = 국가수사본부장에 임명됐다가 낙마한 정순신 변호사 아들이 학교폭력(학폭) 전력에도 ",https://n.news.naver.com/article/001/0013804585
45,"이부진 호텔신라 사장, 지난해 연봉 35억 받았다",호텔신라가 지난해 삼성그룹 오너일가인 이부진 호텔신라 사장(사진)에게 35억600만원의 보수를 지급한 것으로 나타났다. 2021년(41억4800만원)보다 15% 줄어든 금액이다. 9일 호텔신라에 따르면 지난해 이 사,https://n.news.naver.com/article/015/0004819224
46,"[정치와이드] [미니인터뷰] 태영호 ""정진석, 발표 직후 '영호야'…연고 없었던 것이 오히려 강점""",☎태영호 국민의힘 신임 최고위원 ----------------------------- 최수영 전 대통령직인수위 전문위원 윤기찬 변호사 김유정 전 민주당 의원 김종욱 전 청와대 행정관 #MBN #정치와이드 #국민의힘 ,https://n.news.naver.com/article/057/0001727702
47,"차량 충돌 숨진 아내…""부사관 남편, 모포 감싼 채 주변 맴돌아""",강원 동해시에서 육군 부사관이 몰던 승용차가 옹벽을 들이받는 사고가 발생해 동승했던 부인이 숨졌다. 군 당국은 사건에 미심쩍은 부분에 대한 수사에 착수했다. 9일 동해경찰서와 군 당국에 따르면 전날 오전 4시 58분,https://n.news.naver.com/article/469/0000727568
48,전남 강진 백련사 동백나무숲 - 남도에 봄이 스미는 풍경[정태겸의 풍경](43),"3월에 접어들면 남도의 동백도 마지막 불꽃을 태운다. 선명한 붉은빛으로 겨울과 봄 사이에 화려한 춤을 춘다. 동백은 가지 끝에서 한 번, 땅 위에서 또 한 번 핀다고 했다. 꽃잎이 아닌 봉오리째 떨어진 꽃은 백련사 ",https://n.news.naver.com/article/033/0000045362
49,尹 당선 1년…與 “국가정상화 다져”vs 野 “눈떠보니 후진국”,윤석열 대통령이 9일 당선 1주년을 맞은 가운데 여야는 상반된 평가를 내놓았다. 윤석열 대통령이 9일 울산광역시 울주군 온산국가산업단지에서 열린 에쓰오일(S-OIL) 샤힌 프로젝트 기공식을 마친 뒤 후세인 알 카타니,https://n.news.naver.com/article/018/0005439755
50,"노제 ""정산금 안줬다"" 소송에…소속사 ""갑질 논란 수습 바빴다""",엠넷 ‘스트릿 우먼 파이터’에 출연했던 안무가 노제(본명 노지혜)가 소속사와 정산 문제로 갈등을 빚으며 소송을 제기했다. 9일 연합뉴스에 따르면 노제는 지난해 12월 서울중앙지법에 소속사 스타팅하우스를 상대로 채무 ,https://n.news.naver.com/article/025/0003264729
51,"JMS 끌어와 변심 계기 밝힌 유동규 ""괘씸했다""",'발렌티노' 박스 들고 온 검찰... '이재명-정진상' 관계 따져 묻다 제지당하기도 ▲ 유동규 전 성남도시개발공사 본부장이 지난 1월 13일 서울중앙지법에서 열린 대장동 개발 사업 로비·특혜 의혹 관련 1심 속행 공,https://n.news.naver.com/article/047/0002384685
52,North Korea fires short-range missile into West Sea: JCS,"North Korea fired a single short-range ballistic missile from Nampo into the West Sea, according to South Korea's Joint ",https://n.news.naver.com/article/640/0000035960
53,예산시장 인기에 숙박비 2배 ‘껑충’…백종원 “개인 욕심 내려놔라” 호소,"예산군·백종원, 숙박업소·인근 상인들과 간담회 열어…“함께 뜻 모으자” 당부 백종원 더본코리아 대표가 ‘전통시장 부활 프로젝트’를 진행한 충남 예산시장이 인파로 북적이고 있다. 예산군 제공 충남 예산시장이 백종원 더",https://n.news.naver.com/article/022/0003790775
54,[단독] 엉터리 장비 도입…'특전사' 그들만의 상부상조,"육군 특수전사령부가 50억 원 규모의 훈련 장비를 도입했는데, 조사 결과 입찰 자격이 없는 업체가 계약을 따낸 걸로 확인됐습니다. 여기에는 전직, 현직 고위 장교들이 개입한 정황도 드러났습니다. 박재연 기자의 단독 ",https://n.news.naver.com/article/055/0001041368
55,"LG생활건강, 스타트업 베끼기 논란…""업계 1위가 왜""","애경과 토니모리 등이 자신들의 디자인을 모방했다며 검찰에 고소까지했던 LG생활건강(이하 LG생건)이 반대로 국내 한 스타트업의 제품 기술과 디자인, 콘셉트 등을 모방했다는 의혹에 휩싸였다. 9일 유통업계에 따르면 스",https://n.news.naver.com/article/092/0002285048
56,"""60일 안에 증시 폭락 온다""...리먼사태 베스트셀러 작가의 경고",리먼브라더스 사태의 베스트셀러 작가이자 미국 투자정보업체 베어 트랩스 리포트의 창업자 래리 맥도날드(Larry McDonald)가 미국 증시 폭락 가능성을 경고했다. 8일(현지시간) 폭스비즈니스에 따르면 맥도날드는 ,https://n.news.naver.com/article/215/0001087650
57,"기동민 ""검찰 공소장, 거짓 짜깁기한 허술한 창작물""","기동민 더불어민주당 의원은 9일 '라임사태' 핵심 인물인 김봉현 전 스타모빌리티 회장으로부터 불법 정치자금을 받은 혐의로 불구속 기소된 것과 관련, ""검찰의 공소장은 허위와 거짓을 짜깁기한 허술한 창작물""이라고 반박",https://n.news.naver.com/article/656/0000044360
58,[단독/탐사K]① 숨어있는 ‘빌라왕’ 전수 추적…전국에 176명,■ 사기 조직은 '연결'돼 있었다 2021년 제주에서 숨진 '빌라왕' (악성 임대인) 정 모 씨. 그는 2021년 6월부터 빌라를 마구 사들이기 시작했습니다. 주로 신축을 노렸습니다. 숨지기 직전까지 그가 임대한 빌,https://n.news.naver.com/article/056/0011442346
59,[공시줍줍]주주제안을 거절할 수 있다고요?,3월 정기 주주총회 시즌을 앞두고 주주제안이 봇물을 이루는 요즘이에요. 주주제안은 일반주주들이 주총에 올릴 안건을 직접 제시하는 것을 말하는데요. 그럼 주주들이 제안을 하면 회사는 모두 수용해야 할까요. 꼭 그렇지는,https://n.news.naver.com/article/648/0000014510
60,"수상한 교통사고? 사망한 아내 외상이 없다…경찰, 강력범죄 가능성 의심 수사","동해에서 40대 남성이 몰던 SUV가 옹벽을 들이받아 동승자 아내가 숨지는 사고(본지 3월9일자 5면)와 관련해 군 당국과 경찰이 단순 교통사고가 아닌 다른 범행 가능성을 의심, 수사에 나섰다. 경찰과 소방당국에 따",https://n.news.naver.com/article/654/0000034418
61,순창 투표장 대참사..선관위도 안전은 '뒷전',◀ 앵커 ▶ 전국동시조합장선거가 치러지던 순창에서 지금까지 4명이 숨지고 16명이 부상하는 참사가 벌어졌습니다. 투표소가 차려졌던 사고 현장은 그런데 화물차의 통행이 잦은 자재창고인데다 차량 통제도 제대로 이뤄지지 ,https://n.news.naver.com/article/659/0000009759
62,Z세대 입맛에 맞게 변화하는 세상,소통 즐기고 개성 강한 Z세대 등장 이후 달라지고 있는 기업과 제품들 Z세대라는 말을 ‘진짜 Z세대’는 싫어한다고 한다. 누군가는 마케팅 용어에 불과하다고 말한다. 하지만 Z세대라는 용어가 등장한 이후 세상은 달라지,https://n.news.naver.com/article/037/0000032166
63,"검찰, 삼성이 준 정유라 말 '라우싱' 몰수절차 착수",검찰이 국정농단 사건 당시 최서원(개명 전 최순실)씨 딸 정유라씨가 삼성으로부터 받은 말을 몰수하기 위한 절차에 착수했다. 9일 법조계에 따르면 서울중앙지검은 최근 삼성이 정씨에게 건넸다가 돌려받은 마장마필용 말 ',https://n.news.naver.com/article/277/0005228796
64,"[단독]“노예처럼 살았다”…경찰, 부산 청소업체 내사","부산의 한 청소 용역 업체 직원들이 ""노예처럼 살았다""며 이렇게 시위에 나섰습니다. 대표의 갑질 탓에 대표 개인 텃밭에서 일을 하고, 명절 때면 상품권을 상납했다고 호소했는데요. 업체 대표는 전면 부인하는 상황, 경",https://n.news.naver.com/article/449/0000245350
65,"[심층] 영남대, 교수 징계에 징계 취소, 그리고 소송까지···총장 사유화 논란","◀앵커▶ 영남대학교가 학내 민주화를 주장하던 교수회 임원에게 중징계를 내렸는데, 교육부 교원소청심사위원회에서는 징계 처분 취소 결정을 내렸습니다. 그런데 학교 측은 여기에 불복하고 행정소송을 제기했습니다. 징계가 부",https://n.news.naver.com/article/657/0000012808
66,"중국인 노동자, 부산 타워크레인서 ‘7시간 고공시위’",중국 국적 노동자가 9일 부산의 한 건물 신축 공사 현장에서 임금 문제로 7시간가량 고공 시위를 했다. 경찰에 따르면 이날 오전 11시 30분쯤 부산 사하구 15층짜리 건물 신축 공사 현장에서 목수로 일하는 중국 국,https://n.news.naver.com/article/032/0003209917
67,"尹대통령, 김건희 여사와 함께 16~17일 방일…한일정상회담 개최","대통령실 ""한일관계 개선과 발전의 중요한 이정표 될 것"" 윤석열 대통령과 김건희 여사가 일본 정부의 초청으로 16~17일 1박 2일 일정으로 일본을 방문한다고 대통령실이 밝혔다. 이번 방일은 지난 6일 박진 외교부 ",https://n.news.naver.com/article/629/0000205005
68,"'징맨' 황철순 아내 ""폭행 사건 자작극, 이간질하는 사람들 때문""","기사내용 요약 황 씨, 아내 폭행 영상에 ""폭행 사실 아냐, 연출된 상황"" 해명 허서우 인턴 기자 = 트레이너 황철순 씨가 아내 A씨를 폭행하는 영상이 공개된 가운데, A씨가 폭행은 사실이 아닌 연출된 상황이라고 해",https://n.news.naver.com/article/003/0011732071
69,"상공 150m 한평 남짓, 그녀가 차별 피해 올라간 곳[여성의날 기획]",타워크레인 조종사 박미성 씨 1908년 미국 뉴욕 한 피복회사의 열악한 작업장에서 146명의 여성노동자들이 불에 타 죽는 참혹한 사건이 발생했습니다. 분노한 여성노동자 1만5000명이 1908년 3월8일 뉴욕 한복판,https://n.news.naver.com/article/002/0002278539
70,발 빼는 동학개미들...삼성전자서 석 달간 개미 20만명 떠났다,한때 소액주주가 600만명을 넘어서며 명실상부한 ‘국민주’의 위치에 오른 삼성전자에 대해 지난해 하반기 이후 개미투자자들의 이탈이 크게 늘고 있다. 반도체 업황 악화로 주가 부진이 거듭되자 석 달 만에 20만명 정도,https://n.news.naver.com/article/024/0000080531
71,"고가주택, 그대로 상속 vs 팔고 현금으로 상속.. 어떤 게 나을까","고가주택은 그대로 자녀에게 상속·증여하는 것이 좋을까, 아니면 팔고 현금으로 물려주는 것이 좋을까. 법무법인 바른과 조세일보는 9일 오후 2시~3시 30분 '종부세 절세 가이드' 웨비나(유튜브 생중계)를 공동 개최하",https://n.news.naver.com/article/123/0002299359
72,기승전 정부 탓… 부모와 의절 부르는 ‘정치병’,정치병은 병적으로 정치에 집착하는 행위를 일컫는 표현이다. 물론 의학적 진단명은 아니다. 정치의 중요성은 따로 언급할 필요가 없지만 모든 사안을 정치와 연관시키는 사람들이 있다. 이들은 시도 때도 없이 정치적 신념을,https://n.news.naver.com/article/346/0000058892
73,“송혜교 복수까지만 보고 끊을래요” 넷플릭스 추가 요금 징수 반발 확산,"“계정 공유 금지되면 구독 끊을 것”(넷플릭스 이용자) 넷플릭스가 올해 초부터 계정 공유 금지 정책을 일부 국가에 도입하며 본격화하자, 국내 도입도 머지 않았다는 전망이 나오고 있다. 이같은 소식에 국내 일부 이용자",https://n.news.naver.com/article/016/0002114449
74,"KBS '빌라왕' 보도, 각종 공공데이터 입수해 배후세력 추적","389회 이달의 기자상에는 총 53편이 출품됐으며, 이 중 5개 부문에서 7편이 수상의 영예를 안았다. 이번 달에는 가장 경쟁이 치열한 취재보도 1부문(정치, 사회)에서 3편의 수상작이 나왔다. 취재보도 1부문에는 ",https://n.news.naver.com/article/127/0000033793
